Latitude,Longitude,Time,Number
28.585569038463547,77.25803137386686,11:51:55 PM,9
28.55252409377933,77.25993230348575,09:54:14 AM,2
28.57131614700992,77.28023288809034,08:29:34 PM,7
28.560954338602823,77.24718372034131,08:40:42 PM,1
28.604801398389604,77.12742861419493,12:51:44 PM,3
28.603861265965882,77.25363945668953,08:24:33 AM,7
28.515594133482654,77.18876965542576,09:26:44 AM,3
28.63252352702699,77.15722407625353,02:49:19 PM,1
28.56492038757346,77.17609161021268,08:06:25 AM,4
28.628518914674846,77.27574749286035,05:42:40 PM,1
28.51796117782852,77.17180510465258,07:51:58 PM,4
28.63286701581608,77.16081976659514,06:51:56 AM,9
28.58278817001212,77.19510051957614,06:07:20 AM,8
28.63007208538206,77.20284723108374,11:35:38 AM,5
28.68466796357473,77.30605676361739,08:32:21 PM,4
28.613147463178937,77.23690978668049,09:35:11 PM,10
28.710890824513893,77.22757691939618,04:02:35 PM,5
28.704913620954716,77.12311160478492,02:37:13 AM,2
28.56434841670275,77.19900974103521,01:15:42 AM,8
28.643115191432965,77.21874355418949,04:41:00 AM,8
28.612205479469583,77.22307811806132,10:12:49 AM,2
28.63980761113312,77.26317086809527,08:15:56 PM,6
28.53214735798054,77.22645853358223,12:36:09 AM,3
28.680817841079293,77.17468852825517,03:33:41 AM,7
28.600873852674766,77.20708200417084,04:33:55 AM,6
28.6793248182363,77.14740400228177,03:00:08 AM,1
28.57961968268966,77.19259413944533,12:07:05 AM,4
28.5944347095448,77.29564443263556,09:02:15 AM,6
28.606869864423295,77.21909802134472,07:48:50 PM,2
28.586320857594945,77.14611935452336,03:23:05 PM,8
28.633663031533462,77.15741366275665,07:33:57 PM,4
28.640863641111565,77.28245900269957,03:43:32 AM,6
28.668177881429884,77.22505127016107,01:34:43 PM,7
28.578461751631774,77.22405590239735,04:06:09 PM,4
28.609253109372883,77.28900216214,10:17:41 PM,5
28.6738381984848,77.16874692439158,06:12:14 PM,2
28.57137901327019,77.30388271214979,09:12:09 PM,10
28.51575013104481,77.29725066144272,04:57:37 PM,7
28.626321318139585,77.22666172602455,05:09:23 AM,7
28.662304900124955,77.19937557912921,01:30:28 PM,3
28.564766695547632,77.18698519832108,01:29:00 AM,9
28.65270493353165,77.17908810774772,02:47:08 AM,4
28.59875074218912,77.14348869890131,07:43:40 AM,10
28.67402250728605,77.30754638007502,04:00:14 AM,3
28.59127325269175,77.17947058229882,02:15:56 AM,1
28.552072522235306,77.20422641332718,02:08:33 PM,6
28.60593939854991,77.30303563354576,04:56:30 AM,6
28.589322270484303,77.13711695733676,09:58:57 AM,5
28.65300563397153,77.18871392557256,01:09:16 PM,5
28.693423517097706,77.15044142781878,07:14:12 AM,1
28.609446603716698,77.22471590637377,10:54:30 AM,3
28.690361949157452,77.19699994088485,09:33:58 PM,5
28.58992838509779,77.29469764768824,09:01:02 PM,3
28.56863376299511,77.23120337406401,02:19:56 AM,5
28.576468268586943,77.13472883531219,05:48:15 PM,3
28.64244629398267,77.28383649789353,09:18:16 PM,7
28.65885763645063,77.13084916945267,02:57:15 PM,7
28.64956218404575,77.21078933194133,03:48:14 AM,10
28.672658748248733,77.21329167640381,01:00:00 PM,4
28.527578727542956,77.20189347846903,04:15:49 AM,2
28.623932850195416,77.21933639494462,02:39:11 PM,8
